Date & Time (Local), Date & Time (UTC),  Box Temp,  O3 Concentration,  O3 Gen Lamp Temp,  O3 Gen Ref,  O3 Meas,  O3 Ref,  Photo Lamp Temp,  Ref 4096mV,  Ref Ground,  Sample Flow,  Sample Press,  Sample Temp,  Slope 1,  Stability
11/14/2022 12:49:00,11/14/2022 11:49:00, 31.0464344024658, 1.38644874095917, -----, -----, 3535.8408203125, 3535.8408203125, 58.0035133361816, 4095.82104492187, 0, 790.013488769531, 26.9103908538818, 37.6173248291016, 1.04713189601898, 0.134117692708969
11/14/2022 12:50:00,11/14/2022 11:50:00, 31.0834484100342, 1.04640197753906, -----, -----, 3536.78979492187, 3536.73706054687, 58.0023384094238, 4095.82104492187, 0, 789.705505371094, 26.9103908538818, 37.7450675964355, 1.04713189601898, 0.126037746667862
11/14/2022 12:51:00,11/14/2022 11:51:00, 31.1130466461182, 0.609659075737, -----, -----, 3537.79125976562, 3537.68579101562, 57.9999961853027, 4095.82104492187, 0, 787.627319335937, 26.9103908538818, 37.8692665100098, 1.04713189601898, 0.200010851025581
11/14/2022 12:52:00,11/14/2022 11:52:00, 31.1561794281006, 0.610478639602661, -----, -----, 3538.89819335937, 3538.84545898437, 58.001163482666, 4095.76831054687, 0, 792.5537109375, 26.9293918609619, 37.9854011535645, 1.04713189601898, 0.237837418913841
11/14/2022 12:53:00,11/14/2022 11:53:00, 31.2103710174561, 0.998934924602509, -----, -----, 3539.68896484375, 3539.68896484375, 57.9976539611816, 4095.82104492187, 0.0527153015136719, 791.552917480469, 26.8878040313721, 38.0924072265625, 1.04713189601898, 0.220310792326927
11/14/2022 12:54:00,11/14/2022 11:54:00, 31.2632846832275, 0.756337344646454, -----, -----, 3540.53247070312, 3540.63793945312, 58.0035133361816, 4095.82104492187, 0, 787.370666503906, 26.8781223297119, 38.199291229248, 1.04713189601898, 0.157788544893265
11/14/2022 12:55:00,11/14/2022 11:55:00, 31.3124675750732, 0.757676362991333, -----, -----, 3541.79760742187, 3541.90307617187, 57.9999961853027, 4095.82104492187, 0, 788.627807617187, 26.8874454498291, 38.3004417419434, 1.04713189601898, 0.123180136084557
11/14/2022 12:56:00,11/14/2022 11:56:00, 31.3689861297607, 0.879306614398956, -----, -----, 3542.90454101562, 3542.85180664062, 58.0023384094238, 4095.76831054687, 0, 789.269409179688, 26.8752536773682, 38.395881652832, 1.04713189601898, 0.125893861055374
11/14/2022 12:57:00,11/14/2022 11:57:00, 31.4082736968994, 0.369921892881393, -----, -----, 3543.484375, 3543.537109375, 58.0046730041504, 4095.76831054687, 0, 787.909423828125, 26.8501567840576, 38.4945945739746, 1.04713189601898, 0.145149007439613
11/14/2022 12:58:00,11/14/2022 11:58:00, 31.448766708374, 0.394340187311172, -----, -----, 3544.38061523437, 3544.32788085937, 57.9999961853027, 4095.76831054687, 0, 791.963623046875, 26.9060897827148, 38.5853691101074, 1.04713189601898, 0.291689395904541
